INFO:root:total: 5, batch:0, step:100
INFO:root:total: 5, batch:1, step:100
INFO:root:total: 11, batch:0, step:100
INFO:root:total: 11, batch:1, step:100
INFO:root:total: 11, batch:0, step:100
INFO:root:total: 11, batch:1, step:100
INFO:root:total: 70, batch:0, step:100
INFO:root:total: 70, batch:1, step:100
INFO:root:total: 45, batch:0, step:100
INFO:root:total: 45, batch:1, step:100
INFO:root:total: 51, batch:0, step:100
INFO:root:total: 51, batch:1, step:100
INFO:root:total: 29, batch:0, step:100
INFO:root:total: 29, batch:1, step:100
INFO:root:total: 30, batch:0, step:100
INFO:root:total: 30, batch:1, step:100
INFO:root:total: 13, batch:0, step:100
INFO:root:total: 13, batch:1, step:100
INFO:root:total: 7, batch:0, step:100
INFO:root:total: 7, batch:1, step:100
INFO:root:total: 38, batch:0, step:100
INFO:root:total: 38, batch:1, step:100
INFO:root:total: 72, batch:0, step:100
INFO:root:total: 72, batch:1, step:100
INFO:root:total: 53, batch:0, step:100
INFO:root:total: 53, batch:1, step:100
INFO:root:total: 45, batch:0, step:100
INFO:root:total: 45, batch:1, step:100
INFO:root:total: 35, batch:0, step:100
INFO:root:total: 35, batch:1, step:100
INFO:root:total: 4, batch:0, step:100
INFO:root:total: 4, batch:1, step:100
INFO:root:total: 3, batch:0, step:100
INFO:root:total: 3, batch:1, step:100
INFO:root:total: 53, batch:0, step:100
INFO:root:total: 53, batch:1, step:100
INFO:root:total: 32, batch:0, step:100
INFO:root:total: 32, batch:1, step:100
INFO:root:total: 54, batch:0, step:100
INFO:root:total: 54, batch:1, step:100
INFO:root:total: 46, batch:0, step:100
INFO:root:total: 46, batch:1, step:100
INFO:root:total: 62, batch:0, step:100
INFO:root:total: 62, batch:1, step:100
INFO:root:total: 23, batch:0, step:100
INFO:root:total: 23, batch:1, step:100
INFO:root:total: 8, batch:0, step:100
INFO:root:total: 8, batch:1, step:100
INFO:root:total: 59, batch:0, step:100
INFO:root:total: 59, batch:1, step:100
INFO:root:total: 74, batch:0, step:100
INFO:root:total: 74, batch:1, step:100
INFO:root:total: 72, batch:0, step:100
INFO:root:total: 72, batch:1, step:100
INFO:root:total: 69, batch:0, step:100
INFO:root:total: 69, batch:1, step:100
INFO:root:total: 65, batch:0, step:100
INFO:root:total: 65, batch:1, step:100
INFO:root:total: 40, batch:0, step:100
INFO:root:total: 40, batch:1, step:100
INFO:root:total: 43, batch:0, step:100
INFO:root:total: 43, batch:1, step:100
