INFO:root:total: 2, batch:0, step:100
INFO:root:total: 2, batch:1, step:100
INFO:root:total: 2, batch:0, step:100
INFO:root:total: 2, batch:1, step:100
INFO:root:total: 2, batch:0, step:100
INFO:root:total: 2, batch:1, step:100
INFO:root:total: 62, batch:0, step:100
INFO:root:total: 62, batch:1, step:100
INFO:root:total: 50, batch:0, step:100
INFO:root:total: 50, batch:1, step:100
INFO:root:total: 34, batch:0, step:100
INFO:root:total: 34, batch:1, step:100
INFO:root:total: 33, batch:0, step:100
INFO:root:total: 33, batch:1, step:100
INFO:root:total: 27, batch:0, step:100
INFO:root:total: 27, batch:1, step:100
INFO:root:total: 43, batch:0, step:100
INFO:root:total: 43, batch:1, step:100
INFO:root:total: 0, batch:0, step:100
INFO:root:total: 1, batch:0, step:100
INFO:root:total: 1, batch:1, step:100
INFO:root:total: 42, batch:0, step:100
INFO:root:total: 42, batch:1, step:100
INFO:root:total: 32, batch:0, step:100
INFO:root:total: 32, batch:1, step:100
INFO:root:total: 52, batch:0, step:100
INFO:root:total: 52, batch:1, step:100
INFO:root:total: 39, batch:0, step:100
INFO:root:total: 39, batch:1, step:100
INFO:root:total: 31, batch:0, step:100
INFO:root:total: 31, batch:1, step:100
INFO:root:total: 0, batch:0, step:100
INFO:root:total: 3, batch:0, step:100
INFO:root:total: 3, batch:1, step:100
INFO:root:total: 71, batch:0, step:100
INFO:root:total: 71, batch:1, step:100
INFO:root:total: 62, batch:0, step:100
INFO:root:total: 62, batch:1, step:100
INFO:root:total: 78, batch:0, step:100
INFO:root:total: 78, batch:1, step:100
INFO:root:total: 56, batch:0, step:100
INFO:root:total: 56, batch:1, step:100
INFO:root:total: 27, batch:0, step:100
INFO:root:total: 27, batch:1, step:100
INFO:root:total: 4, batch:0, step:100
INFO:root:total: 4, batch:1, step:100
INFO:root:total: 82, batch:0, step:100
INFO:root:total: 82, batch:1, step:100
INFO:root:total: 77, batch:0, step:100
INFO:root:total: 77, batch:1, step:100
INFO:root:total: 78, batch:0, step:100
INFO:root:total: 78, batch:1, step:100
INFO:root:total: 119, batch:0, step:100
INFO:root:total: 119, batch:1, step:100
INFO:root:total: 119, batch:2, step:100
INFO:root:total: 59, batch:0, step:100
INFO:root:total: 59, batch:1, step:100
INFO:root:total: 69, batch:0, step:100
INFO:root:total: 69, batch:1, step:100
